Timestamp,Angle (degrees),Distance (cm)
2024-06-13 22:40:58,120,16
2024-06-13 22:40:58,120,16
2024-06-13 22:40:58,121,16
2024-06-13 22:40:58,122,16
2024-06-13 22:40:58,122,16
2024-06-13 22:40:58,123,16
2024-06-13 22:40:58,124,16
2024-06-13 22:40:58,124,16
2024-06-13 22:40:58,125,16
2024-06-13 22:40:58,126,16
2024-06-13 22:40:58,126,16
2024-06-13 22:40:58,127,16
2024-06-13 22:40:58,128,16
2024-06-13 22:40:58,128,16
2024-06-13 22:40:59,129,16
2024-06-13 22:40:59,130,16
2024-06-13 22:40:59,130,16
2024-06-13 22:40:59,131,15
2024-06-13 22:40:59,131,18
2024-06-13 22:40:59,132,16
2024-06-13 22:40:59,132,14
2024-06-13 22:40:59,133,16
2024-06-13 22:40:59,133,16
2024-06-13 22:40:59,134,14
2024-06-13 22:40:59,134,14
2024-06-13 22:40:59,135,14
2024-06-13 22:40:59,135,14
2024-06-13 22:40:59,136,14
2024-06-13 22:40:59,136,15
2024-06-13 22:40:59,125,13
2024-06-13 22:40:59,125,13
2024-06-13 22:40:59,126,14
2024-06-13 22:40:59,125,12
2024-06-13 22:40:59,125,10
2024-06-13 22:40:59,125,10
2024-06-13 22:40:59,125,9
2024-06-13 22:41:00,125,8
2024-06-13 22:41:00,125,7
2024-06-13 22:41:00,125,7
2024-06-13 22:41:00,126,20
2024-06-13 22:41:00,125,8
2024-06-13 22:41:00,125,6
2024-06-13 22:41:00,126,5
2024-06-13 22:41:00,127,5
2024-06-13 22:41:00,128,4
2024-06-13 22:41:00,129,5
2024-06-13 22:41:00,130,3
2024-06-13 22:41:00,131,22
2024-06-13 22:41:00,132,14
2024-06-13 22:41:00,125,6
2024-06-13 22:41:00,126,23
2024-06-13 22:41:00,127,23
2024-06-13 22:41:00,128,3
2024-06-13 22:41:00,125,7
2024-06-13 22:41:00,126,22
2024-06-13 22:41:00,127,20
2024-06-13 22:41:00,125,6
2024-06-13 22:41:00,125,6
2024-06-13 22:41:00,126,5
2024-06-13 22:41:01,127,3
2024-06-13 22:41:01,128,4
2024-06-13 22:41:01,129,5
2024-06-13 22:41:01,130,4
2024-06-13 22:41:01,131,4
