Timestamp,Angle (degrees),Distance (cm)
2024-06-13 22:49:35,120,16
2024-06-13 22:49:35,120,16
2024-06-13 22:49:35,121,16
2024-06-13 22:49:35,122,16
2024-06-13 22:49:35,122,16
2024-06-13 22:49:35,123,16
2024-06-13 22:49:35,124,16
2024-06-13 22:49:35,124,16
2024-06-13 22:49:35,125,16
2024-06-13 22:49:35,126,16
2024-06-13 22:49:35,126,16
2024-06-13 22:49:35,127,16
2024-06-13 22:49:35,128,16
2024-06-13 22:49:35,128,16
2024-06-13 22:49:35,129,16
2024-06-13 22:49:35,130,16
2024-06-13 22:49:35,130,16
2024-06-13 22:49:35,131,15
2024-06-13 22:49:35,131,16
2024-06-13 22:49:35,132,16
2024-06-13 22:49:35,132,18
2024-06-13 22:49:35,133,14
2024-06-13 22:49:36,133,16
2024-06-13 22:49:36,134,15
2024-06-13 22:49:36,134,14
2024-06-13 22:49:36,135,14
2024-06-13 22:49:36,135,14
2024-06-13 22:49:36,136,14
2024-06-13 22:49:36,136,15
2024-06-13 22:49:36,136,14
2024-06-13 22:49:36,137,14
2024-06-13 22:49:36,137,14
2024-06-13 22:49:36,137,14
2024-06-13 22:49:36,125,12
2024-06-13 22:49:36,126,15
2024-06-13 22:49:36,125,7
2024-06-13 22:49:36,126,15
2024-06-13 22:49:36,127,3
2024-06-13 22:49:36,128,5
2024-06-13 22:49:36,129,23
2024-06-13 22:49:36,130,21
2024-06-13 22:49:36,125,7
2024-06-13 22:49:36,126,20
2024-06-13 22:49:36,127,3
2024-06-13 22:49:36,128,3
2024-06-13 22:49:37,129,21
2024-06-13 22:49:37,130,22
2024-06-13 22:49:37,131,23
2024-06-13 22:49:37,132,23
2024-06-13 22:49:37,133,24
2024-06-13 22:49:37,134,23
2024-06-13 22:49:37,125,7
2024-06-13 22:49:37,126,3
2024-06-13 22:49:37,127,3
2024-06-13 22:49:37,128,3
2024-06-13 22:49:37,129,21
2024-06-13 22:49:37,130,24
2024-06-13 22:49:37,131,23
2024-06-13 22:49:37,132,23
2024-06-13 22:49:37,133,14
2024-06-13 22:49:37,134,22
2024-06-13 22:49:37,135,24
2024-06-13 22:49:37,136,24
2024-06-13 22:49:37,136,3
2024-06-13 22:49:37,135,3
2024-06-13 22:49:37,135,3
2024-06-13 22:49:37,134,3
2024-06-13 22:49:37,134,3
2024-06-13 22:49:38,134,3
2024-06-13 22:49:38,133,3
2024-06-13 22:49:38,133,3
2024-06-13 22:49:38,132,3
2024-06-13 22:49:38,131,3
2024-06-13 22:49:38,131,3
2024-06-13 22:49:38,130,3
2024-06-13 22:49:38,130,3
2024-06-13 22:49:38,125,7
2024-06-13 22:49:38,126,23
2024-06-13 22:49:38,127,23
2024-06-13 22:49:38,127,24
2024-06-13 22:49:38,127,23
2024-06-13 22:49:38,125,6
2024-06-13 22:49:38,125,6
2024-06-13 22:49:38,125,8
2024-06-13 22:49:38,124,14
2024-06-13 22:49:38,123,20
2024-06-13 22:49:38,123,7
2024-06-13 22:49:38,122,14
2024-06-13 22:49:38,121,23
2024-06-13 22:49:38,121,4
2024-06-13 22:49:38,120,4
2024-06-13 22:49:39,120,6
2024-06-13 22:49:39,119,4
2024-06-13 22:49:39,119,6
2024-06-13 22:49:39,119,7
2024-06-13 22:49:39,119,8
2024-06-13 22:49:39,119,8
2024-06-13 22:49:39,119,9
2024-06-13 22:49:39,119,10
2024-06-13 22:49:39,118,17
2024-06-13 22:49:39,118,11
2024-06-13 22:49:39,117,14
2024-06-13 22:49:39,117,13
2024-06-13 22:49:39,116,14
2024-06-13 22:49:39,115,14
2024-06-13 22:49:39,114,15
2024-06-13 22:49:39,113,16
2024-06-13 22:49:39,112,16
2024-06-13 22:49:39,111,16
2024-06-13 22:49:39,110,16
2024-06-13 22:49:39,109,15
2024-06-13 22:49:39,108,16
2024-06-13 22:49:39,107,16
2024-06-13 22:49:40,106,16
2024-06-13 22:49:40,105,16
2024-06-13 22:49:40,105,15
2024-06-13 22:49:40,104,16
2024-06-13 22:49:40,104,16
2024-06-13 22:49:40,103,16
2024-06-13 22:49:40,103,16
2024-06-13 22:49:40,102,16
2024-06-13 22:49:40,102,16
2024-06-13 22:49:40,102,16
2024-06-13 22:49:40,101,16
2024-06-13 22:49:40,101,15
2024-06-13 22:49:40,101,16
2024-06-13 22:49:40,101,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:40,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,15
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,100,16
2024-06-13 22:49:41,101,16
2024-06-13 22:49:41,101,16
2024-06-13 22:49:41,101,16
2024-06-13 22:49:41,101,16
2024-06-13 22:49:41,102,16
2024-06-13 22:49:41,102,16
2024-06-13 22:49:41,102,15
2024-06-13 22:49:41,103,16
2024-06-13 22:49:41,103,16
2024-06-13 22:49:41,103,16
2024-06-13 22:49:41,104,16
2024-06-13 22:49:41,104,16
2024-06-13 22:49:41,105,16
2024-06-13 22:49:42,105,16
2024-06-13 22:49:42,106,15
2024-06-13 22:49:42,106,16
2024-06-13 22:49:42,107,16
2024-06-13 22:49:42,107,16
2024-06-13 22:49:42,108,16
2024-06-13 22:49:42,109,16
2024-06-13 22:49:42,109,16
2024-06-13 22:49:42,110,16
2024-06-13 22:49:42,110,16
2024-06-13 22:49:42,111,15
2024-06-13 22:49:42,112,16
2024-06-13 22:49:42,112,16
2024-06-13 22:49:42,113,16
2024-06-13 22:49:42,114,16
2024-06-13 22:49:42,114,16
2024-06-13 22:49:42,115,16
2024-06-13 22:49:42,116,16
2024-06-13 22:49:42,116,15
2024-06-13 22:49:42,117,16
2024-06-13 22:49:42,118,16
2024-06-13 22:49:42,118,16
2024-06-13 22:49:43,119,16
2024-06-13 22:49:43,120,16
2024-06-13 22:49:43,121,16
2024-06-13 22:49:43,121,16
2024-06-13 22:49:43,122,16
2024-06-13 22:49:43,123,15
2024-06-13 22:49:43,123,16
2024-06-13 22:49:43,124,16
2024-06-13 22:49:43,125,16
2024-06-13 22:49:43,125,16
2024-06-13 22:49:43,126,16
2024-06-13 22:49:43,127,16
2024-06-13 22:49:43,127,16
2024-06-13 22:49:43,128,15
2024-06-13 22:49:43,129,16
2024-06-13 22:49:43,129,16
2024-06-13 22:49:43,130,16
2024-06-13 22:49:43,130,16
2024-06-13 22:49:43,131,16
2024-06-13 22:49:43,132,16
2024-06-13 22:49:43,132,16
2024-06-13 22:49:43,133,16
2024-06-13 22:49:43,133,16
2024-06-13 22:49:44,134,23
2024-06-13 22:49:44,134,14
2024-06-13 22:49:44,135,15
2024-06-13 22:49:44,135,14
2024-06-13 22:49:44,136,14
2024-06-13 22:49:44,136,14
2024-06-13 22:49:44,136,14
2024-06-13 22:49:44,137,14
2024-06-13 22:49:44,125,13
2024-06-13 22:49:44,126,14
2024-06-13 22:49:44,125,13
2024-06-13 22:49:44,125,11
2024-06-13 22:49:44,125,11
2024-06-13 22:49:44,125,10
2024-06-13 22:49:44,125,9
2024-06-13 22:49:44,125,7
2024-06-13 22:49:44,125,9
2024-06-13 22:49:44,125,7
2024-06-13 22:49:44,126,16
2024-06-13 22:49:44,127,15
2024-06-13 22:49:44,128,5
2024-06-13 22:49:44,129,5
2024-06-13 22:49:45,130,5
2024-06-13 22:49:45,131,5
2024-06-13 22:49:45,132,5
2024-06-13 22:49:45,133,4
2024-06-13 22:49:45,134,3
2024-06-13 22:49:45,135,5
2024-06-13 22:49:45,125,9
2024-06-13 22:49:45,126,3
2024-06-13 22:49:45,127,3
2024-06-13 22:49:45,128,3
2024-06-13 22:49:45,125,7
2024-06-13 22:49:45,126,25
2024-06-13 22:49:45,127,24
2024-06-13 22:49:45,125,6
2024-06-13 22:49:45,126,14
2024-06-13 22:49:45,127,24
2024-06-13 22:49:45,128,20
2024-06-13 22:49:45,129,4
2024-06-13 22:49:45,130,5
2024-06-13 22:49:45,131,3
2024-06-13 22:49:45,132,3
2024-06-13 22:49:45,125,6
2024-06-13 22:49:45,126,4
2024-06-13 22:49:46,127,5
2024-06-13 22:49:46,128,4
2024-06-13 22:49:46,129,5
2024-06-13 22:49:46,125,6
2024-06-13 22:49:46,125,6
2024-06-13 22:49:46,126,4
2024-06-13 22:49:46,127,4
2024-06-13 22:49:46,128,5
2024-06-13 22:49:46,129,4
