Timestamp,Angle (degrees),Distance (cm)
2024-06-13 22:44:26,120,16
2024-06-13 22:44:26,120,16
2024-06-13 22:44:26,121,16
2024-06-13 22:44:26,122,16
2024-06-13 22:44:26,122,16
2024-06-13 22:44:26,123,16
2024-06-13 22:44:26,124,16
2024-06-13 22:44:26,124,16
2024-06-13 22:44:26,125,16
2024-06-13 22:44:26,126,16
2024-06-13 22:44:26,126,16
2024-06-13 22:44:26,127,16
2024-06-13 22:44:26,128,16
2024-06-13 22:44:26,128,16
2024-06-13 22:44:26,129,16
2024-06-13 22:44:26,130,16
2024-06-13 22:44:26,130,16
2024-06-13 22:44:26,131,15
2024-06-13 22:44:27,131,16
2024-06-13 22:44:27,132,16
2024-06-13 22:44:27,132,20
2024-06-13 22:44:27,133,14
2024-06-13 22:44:27,133,16
2024-06-13 22:44:27,134,16
2024-06-13 22:44:27,134,14
2024-06-13 22:44:27,135,14
2024-06-13 22:44:27,135,14
2024-06-13 22:44:27,136,15
2024-06-13 22:44:27,136,14
2024-06-13 22:44:27,136,14
2024-06-13 22:44:27,137,16
2024-06-13 22:44:27,125,13
2024-06-13 22:44:27,126,14
2024-06-13 22:44:27,127,14
2024-06-13 22:44:27,125,11
2024-06-13 22:44:27,126,14
2024-06-13 22:44:27,127,16
2024-06-13 22:44:27,128,14
2024-06-13 22:44:27,125,10
2024-06-13 22:44:27,125,7
2024-06-13 22:44:28,125,7
2024-06-13 22:44:28,126,15
2024-06-13 22:44:28,125,7
2024-06-13 22:44:28,125,6
2024-06-13 22:44:28,125,6
2024-06-13 22:44:28,126,3
2024-06-13 22:44:28,127,4
2024-06-13 22:44:28,128,3
2024-06-13 22:44:28,129,4
2024-06-13 22:44:28,130,5
2024-06-13 22:44:28,131,3
2024-06-13 22:44:28,132,23
2024-06-13 22:44:28,125,13
2024-06-13 22:44:28,125,6
2024-06-13 22:44:28,126,22
2024-06-13 22:44:28,127,3
2024-06-13 22:44:28,128,21
2024-06-13 22:44:28,129,23
2024-06-13 22:44:28,130,23
2024-06-13 22:44:28,131,23
2024-06-13 22:44:28,125,8
2024-06-13 22:44:28,126,22
2024-06-13 22:44:28,127,23
2024-06-13 22:44:29,125,7
2024-06-13 22:44:29,126,14
2024-06-13 22:44:29,127,24
2024-06-13 22:44:29,128,23
2024-06-13 22:44:29,129,14
2024-06-13 22:44:29,130,20
2024-06-13 22:44:29,131,5
2024-06-13 22:44:29,132,5
2024-06-13 22:44:29,132,5
2024-06-13 22:44:29,125,6
2024-06-13 22:44:29,126,14
2024-06-13 22:44:29,125,8
2024-06-13 22:44:29,126,3
2024-06-13 22:44:29,127,23
2024-06-13 22:44:29,128,23
2024-06-13 22:44:29,128,20
2024-06-13 22:44:29,127,5
2024-06-13 22:44:29,127,14
2024-06-13 22:44:29,126,4
2024-06-13 22:44:29,125,23
2024-06-13 22:44:29,125,3
2024-06-13 22:44:29,124,4
2024-06-13 22:44:29,123,5
2024-06-13 22:44:30,123,4
2024-06-13 22:44:30,122,5
2024-06-13 22:44:30,121,5
2024-06-13 22:44:30,121,4
2024-06-13 22:44:30,120,5
