Timestamp,Angle (degrees),Distance (cm)
2024-06-13 22:44:11,120,16
2024-06-13 22:44:11,120,16
2024-06-13 22:44:11,121,16
2024-06-13 22:44:11,122,16
2024-06-13 22:44:11,122,16
2024-06-13 22:44:11,123,16
2024-06-13 22:44:11,124,16
2024-06-13 22:44:11,124,16
2024-06-13 22:44:11,125,16
2024-06-13 22:44:11,126,16
2024-06-13 22:44:11,126,16
2024-06-13 22:44:11,127,16
2024-06-13 22:44:11,128,16
2024-06-13 22:44:11,128,16
2024-06-13 22:44:11,129,16
2024-06-13 22:44:11,130,16
2024-06-13 22:44:11,130,16
2024-06-13 22:44:11,131,15
2024-06-13 22:44:11,131,16
2024-06-13 22:44:11,132,16
2024-06-13 22:44:11,132,14
2024-06-13 22:44:12,133,16
2024-06-13 22:44:12,133,16
2024-06-13 22:44:12,134,14
2024-06-13 22:44:12,134,15
2024-06-13 22:44:12,135,14
2024-06-13 22:44:12,135,14
2024-06-13 22:44:12,136,14
2024-06-13 22:44:12,125,13
2024-06-13 22:44:12,126,14
2024-06-13 22:44:12,127,14
2024-06-13 22:44:12,128,14
2024-06-13 22:44:12,125,13
2024-06-13 22:44:12,126,15
2024-06-13 22:44:12,125,12
2024-06-13 22:44:12,125,11
2024-06-13 22:44:12,125,12
2024-06-13 22:44:12,125,13
2024-06-13 22:44:12,125,13
2024-06-13 22:44:12,125,10
2024-06-13 22:44:12,125,10
2024-06-13 22:44:12,125,12
2024-06-13 22:44:12,125,12
2024-06-13 22:44:12,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:13,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:14,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:15,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
2024-06-13 22:44:16,125,12
