Timestamp,Angle (degrees),Distance (cm)
2024-06-13 22:49:08,120,16
2024-06-13 22:49:08,120,16
2024-06-13 22:49:09,121,16
2024-06-13 22:49:09,122,16
2024-06-13 22:49:09,122,16
2024-06-13 22:49:09,123,16
2024-06-13 22:49:09,124,16
2024-06-13 22:49:09,124,16
2024-06-13 22:49:09,125,16
2024-06-13 22:49:09,126,16
2024-06-13 22:49:09,126,16
2024-06-13 22:49:09,127,16
2024-06-13 22:49:09,128,16
2024-06-13 22:49:09,128,16
2024-06-13 22:49:09,129,16
2024-06-13 22:49:09,130,16
2024-06-13 22:49:09,130,16
2024-06-13 22:49:09,131,16
2024-06-13 22:49:09,131,18
2024-06-13 22:49:09,132,17
2024-06-13 22:49:09,132,16
2024-06-13 22:49:09,133,14
2024-06-13 22:49:09,133,14
2024-06-13 22:49:09,134,14
2024-06-13 22:49:10,134,15
2024-06-13 22:49:10,135,14
2024-06-13 22:49:10,135,18
2024-06-13 22:49:10,136,14
2024-06-13 22:49:10,125,13
2024-06-13 22:49:10,126,14
2024-06-13 22:49:10,125,10
2024-06-13 22:49:10,126,14
2024-06-13 22:49:10,125,10
2024-06-13 22:49:10,125,11
2024-06-13 22:49:10,125,8
2024-06-13 22:49:10,125,8
2024-06-13 22:49:10,125,8
2024-06-13 22:49:10,125,7
2024-06-13 22:49:10,125,10
2024-06-13 22:49:10,125,6
2024-06-13 22:49:10,125,6
2024-06-13 22:49:10,126,5
2024-06-13 22:49:10,127,5
2024-06-13 22:49:10,128,5
2024-06-13 22:49:10,129,4
2024-06-13 22:49:10,130,4
2024-06-13 22:49:10,131,5
2024-06-13 22:49:11,132,5
2024-06-13 22:49:11,133,3
2024-06-13 22:49:11,134,24
2024-06-13 22:49:11,135,20
2024-06-13 22:49:11,136,24
2024-06-13 22:49:11,137,3
2024-06-13 22:49:11,138,3
2024-06-13 22:49:11,139,3
2024-06-13 22:49:11,138,3
2024-06-13 22:49:11,138,3
2024-06-13 22:49:11,138,3
2024-06-13 22:49:11,138,3
2024-06-13 22:49:11,137,3
2024-06-13 22:49:11,137,3
2024-06-13 22:49:11,137,3
2024-06-13 22:49:11,136,3
2024-06-13 22:49:11,136,3
2024-06-13 22:49:11,136,3
2024-06-13 22:49:11,135,3
2024-06-13 22:49:11,135,3
2024-06-13 22:49:11,134,3
2024-06-13 22:49:11,134,3
2024-06-13 22:49:11,133,3
2024-06-13 22:49:11,133,3
2024-06-13 22:49:12,132,24
2024-06-13 22:49:12,125,8
2024-06-13 22:49:12,125,7
2024-06-13 22:49:12,126,23
2024-06-13 22:49:12,127,3
2024-06-13 22:49:12,125,7
2024-06-13 22:49:12,126,23
2024-06-13 22:49:12,125,6
2024-06-13 22:49:12,126,17
2024-06-13 22:49:12,127,4
2024-06-13 22:49:12,126,3
2024-06-13 22:49:12,126,4
2024-06-13 22:49:12,125,5
2024-06-13 22:49:12,124,5
2024-06-13 22:49:12,124,6
2024-06-13 22:49:12,123,3
2024-06-13 22:49:12,122,5
2024-06-13 22:49:12,122,4
2024-06-13 22:49:12,122,7
2024-06-13 22:49:12,121,20
2024-06-13 22:49:12,120,14
2024-06-13 22:49:12,120,7
2024-06-13 22:49:13,120,7
2024-06-13 22:49:13,120,9
2024-06-13 22:49:13,120,7
2024-06-13 22:49:13,120,10
2024-06-13 22:49:13,120,10
2024-06-13 22:49:13,120,11
2024-06-13 22:49:13,119,15
2024-06-13 22:49:13,119,9
2024-06-13 22:49:13,118,14
2024-06-13 22:49:13,117,14
2024-06-13 22:49:13,116,15
2024-06-13 22:49:13,115,19
2024-06-13 22:49:13,114,14
2024-06-13 22:49:13,113,16
2024-06-13 22:49:13,112,17
2024-06-13 22:49:13,111,16
2024-06-13 22:49:13,110,16
2024-06-13 22:49:13,109,16
2024-06-13 22:49:13,108,16
2024-06-13 22:49:13,107,16
2024-06-13 22:49:13,106,16
2024-06-13 22:49:13,105,16
2024-06-13 22:49:13,105,16
2024-06-13 22:49:14,104,16
2024-06-13 22:49:14,104,16
2024-06-13 22:49:14,103,16
2024-06-13 22:49:14,103,16
2024-06-13 22:49:14,103,15
2024-06-13 22:49:14,102,16
2024-06-13 22:49:14,102,16
2024-06-13 22:49:14,102,16
2024-06-13 22:49:14,101,16
2024-06-13 22:49:14,101,16
2024-06-13 22:49:14,101,16
2024-06-13 22:49:14,101,16
2024-06-13 22:49:14,100,16
2024-06-13 22:49:14,100,15
2024-06-13 22:49:14,100,16
2024-06-13 22:49:14,100,16
2024-06-13 22:49:14,100,16
2024-06-13 22:49:14,100,16
2024-06-13 22:49:14,100,15
2024-06-13 22:49:14,100,16
2024-06-13 22:49:14,100,16
2024-06-13 22:49:14,100,16
2024-06-13 22:49:15,100,16
2024-06-13 22:49:15,100,16
2024-06-13 22:49:15,100,16
2024-06-13 22:49:15,100,16
2024-06-13 22:49:15,100,16
2024-06-13 22:49:15,100,15
2024-06-13 22:49:15,100,16
2024-06-13 22:49:15,100,16
2024-06-13 22:49:15,101,16
2024-06-13 22:49:15,101,16
2024-06-13 22:49:15,101,16
2024-06-13 22:49:15,101,16
2024-06-13 22:49:15,102,16
2024-06-13 22:49:15,102,16
2024-06-13 22:49:15,102,16
2024-06-13 22:49:15,103,16
2024-06-13 22:49:15,103,16
2024-06-13 22:49:15,104,16
2024-06-13 22:49:15,104,16
2024-06-13 22:49:15,104,16
2024-06-13 22:49:15,105,16
2024-06-13 22:49:15,105,16
2024-06-13 22:49:16,106,16
2024-06-13 22:49:16,106,16
2024-06-13 22:49:16,107,16
2024-06-13 22:49:16,108,16
2024-06-13 22:49:16,108,16
2024-06-13 22:49:16,109,15
2024-06-13 22:49:16,109,16
2024-06-13 22:49:16,110,16
2024-06-13 22:49:16,111,16
2024-06-13 22:49:16,111,16
2024-06-13 22:49:16,112,16
2024-06-13 22:49:16,113,16
2024-06-13 22:49:16,113,16
2024-06-13 22:49:16,114,16
2024-06-13 22:49:16,115,16
2024-06-13 22:49:16,115,16
2024-06-13 22:49:16,116,16
2024-06-13 22:49:16,117,16
2024-06-13 22:49:16,117,16
